Progress,CreationClass,Batch,Id,DisplayName,Type,Rarity,Cost,Tags,SharedPool,SharedPoolStock,Faces,Hooks,EffectType,Conditions,TargetRule,Parameters,Duration,ValidationNotes,TechnicalRisk,DesignNotes
validated,ReadyNow,B1,dice.standard,Dé Standard,Die,Common,n/a,die.basic;die.standard,No,0,1/2/3/4/5/6,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Faces explicites; fallback off.,None,Dé de départ; garder gratuit et lisible.
validated,ReadyNow,B1,dice.heavy,Dé Lourd,Die,Common,n/a,die.basic;die.stable,No,0,2/3/3/4/4/5,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Tester distribution sans 6.,None,Bon contrôle de variance.
validated,ReadyNow,B1,dice.risky,Dé Risqué,Die,Common,n/a,die.basic;die.risky;value.zero;value.high,No,0,0/0/3/6/6/9,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Verifier score avec valeurs 0 et >6.,Scoring doit accepter 0 et 9.,Bon pivot pour builds risque.
validated,ReadyNow,B1,dice.even,Dé Pair,Die,Common,n/a,die.basic;build.even,No,0,2/2/4/4/6/6,PostScoreCalculation,AddScoreFlat,Always; all faces are even,SourceDie,Amount=2,Round,Valider que l'effet ne s'applique qu'une fois par dé pair.,Needs dice effect execution per source die.,Simple et bon pour onboarding build pair.
validated,ReadyNow,B1,dice.odd,Dé Impair,Die,Common,n/a,die.basic;build.odd;economy,No,0,1/1/3/3/5/5,Reward,AddGold,Always; all faces are odd,Source,Amount=1,Round,Verifier que le gold est cappe par l'economie.,Needs dice effect execution per source die.,"Economie douce, attention au snowball."
validated,ReadyNow,B1,dice.small,Dé Petit,Die,Common,n/a,die.basic;build.low,No,0,1/1/1/2/2/3,PostScoreCalculation,AddScoreFlat,DieValueEquals 1,SourceDie,Amount=5,Round,Tester plusieurs 1 dans le meme lancer.,None,Tres lisible.
validated,ReadyNow,B1,dice.big,Dé Gros,Die,Common,n/a,die.basic;build.high,No,0,4/4/5/5/6/6,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Cout gere par DiceItem.,None,Late game fiable; pas besoin d'effet.
validated,ReadyNow,B3,dice.golden,Dé Doré,Die,Uncommon,n/a,die.economy;gold;kept,No,0,1/2/3/4/5/6,Reward,AddGold,SourceDieLocked,SourceDie,Amount=RolledValue,Round,Created in B3; kept is implemented as locked runtime die state.,None,"Tres bon, mais doit etre lisible pour eviter confusion."
validated,ReadyNow,B3,dice.silver,Dé Argenté,Die,Uncommon,n/a,die.economy;gold_scaling;score.flat,No,0,1/2/3/4/5/6,ScoreModifier,AddScoreFlat,GoldThreshold >= 1,Source,Amount=CurrentGold*10; Cap=100,Round,Created in B3; dynamic gold scalar and cap supported.,None,Fort si economie; surveiller early snowball.
validated,ReadyNow,B3,dice.red,Dé Rouge,Die,Uncommon,n/a,die.score;value.high,No,0,1/2/3/4/5/6,ScoreModifier,AddScoreFlat,SourceDieValue >= 5,SourceDie,Amount=20,Round,Created in B3; targeted test covers value >=5.,None,"Simple, bon objet de premier lot."
